학과코드,학과명,학위과정,대계열,중계열,소계열
U01010200008,국어국문학과,대학과정,인문계열,언어ㆍ문학,국어ㆍ국문학
U01010400016,중어중문학과,대학과정,인문계열,언어ㆍ문학,중국어ㆍ문학
U01010600018,영어영문학과,대학과정,인문계열,언어ㆍ문학,영미어ㆍ문학
U01010700003,독어독문학과,대학과정,인문계열,언어ㆍ문학,독일어ㆍ문학
U01020400006,사학과,대학과정,인문계열,인문과학,역사ㆍ고고학
U01020600060,일본학과,대학과정,인문계열,인문과학,국제지역학
U01020700029,철학과,대학과정,인문계열,인문과학,철학ㆍ윤리학
U01020800121,기타모집단위,대학과정,인문계열,인문과학,교양인문학
U02010100035,경영학과,대학과정,사회계열,경영ㆍ경제,경영학
U02010100048,관광경영학과,대학과정,사회계열,경영ㆍ경제,경영학
U02010200014,경제학과,대학과정,사회계열,경영ㆍ경제,경제학
U02010500054,회계학과,대학과정,사회계열,경영ㆍ경제,금융ㆍ회계ㆍ세무학
U02010600024,국제통상학과,대학과정,사회계열,경영ㆍ경제,무역ㆍ유통학
U02010600031,무역학과,대학과정,사회계열,경영ㆍ경제,무역ㆍ유통학
U02020100024,법학과,대학과정,사회계열,법률,법학
U02030300062,도시계획?부동산학과,대학과정,사회계열,사회과학,도시ㆍ지역학
U02030700049,자치행정학과,대학과정,사회계열,사회과학,행정학
U03010100059,교직과정부,대학과정,교육계열,교육일반,교육학
U04020100022,건설환경공학과,대학과정,공학계열,토목ㆍ도시,토목공학
U04020100047,토목공학과,대학과정,공학계열,토목ㆍ도시,토목공학
U04020100227,스마트인프라공학부,대학과정,공학계열,토목ㆍ도시,토목공학
U04020100229,건설환경전공,대학과정,공학계열,토목ㆍ도시,토목공학
U04050200028,전자공학과,대학과정,공학계열,전기ㆍ전자,전자공학
U04050200230,전자?반도체공학부,대학과정,공학계열,전기ㆍ전자,전자공학
U04050200231,전자?반도체공학부(반도체공학전공),대학과정,공학계열,전기ㆍ전자,전자공학
U04050200234,전자?반도체공학부(전자공학전공),대학과정,공학계열,전기ㆍ전자,전자공학
U04070100104,세라믹신소재공학전공,대학과정,공학계열,소재ㆍ재료,반도체ㆍ세라믹공학
U04070300036,화학신소재학과,대학과정,공학계열,소재ㆍ재료,신소재공학
U04070300169,신소재?생명화학공학부,대학과정,공학계열,소재ㆍ재료,신소재공학
U04070300172,신소재금속공학전공,대학과정,공학계열,소재ㆍ재료,신소재공학
U04080300518,데이터사이언스학과,대학과정,공학계열,컴퓨터ㆍ통신,정보ㆍ통신공학
U05010200033,해양생태환경학과,대학과정,자연계열,농림ㆍ수산,수산학
U05020100038,생명화학공학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020100058,수산생명의학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020100116,생명화학공학전공,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020100167,해양생명과학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020100270,식물생명과학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020100315,식품가공유통학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020100414,해양분자생명과학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020100525,해양바이오식품학과 해양바이오전공,대학과정,자연계열,생물ㆍ화학ㆍ환경,생명과학
U05020200021,생물학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,생물학
U05020600083,환경조경학과,대학과정,자연계열,생물ㆍ화학ㆍ환경,환경학
U05030200045,식품영양학과,대학과정,자연계열,생활과학,식품영양학
U05030200219,해양바이오식품학과,대학과정,자연계열,생활과학,식품영양학
U05030200360,해양바이오식품학과 해양식품융합전공,대학과정,자연계열,생활과학,식품영양학
U05040100016,수학과,대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,수학
U05040100018,수학물리학부,대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,수학
U05040100101,수학물리학부(수학전공),대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,수학
U05040200017,정보통계학과,대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,통계학
U05040300016,물리학과,대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,물리ㆍ과학
U05040300116,수학물리학부(물리?에너지전공),대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,물리ㆍ과학
U05040400003,대기환경과학과,대학과정,자연계열,수학ㆍ물리ㆍ천문ㆍ지리,천문ㆍ기상학
U06010200002,치위생학과,대학과정,의약계열,의료,치의학
U06010200004,치의예과,대학과정,의약계열,의료,치의학
U06010200005,치의학과,대학과정,의약계열,의료,치의학
U07010400014,패션디자인학과,대학과정,예체능계열,디자인,패션디자인
U07020100059,공예조형디자인학과,대학과정,예체능계열,응용예술,공예
U07030200090,체육학과,대학과정,예체능계열,무용ㆍ체육,체육
U07040100009,미술학과,대학과정,예체능계열,미술ㆍ조형,순수미술
U07040100115,조형예술?디자인학과,대학과정,예체능계열,미술ㆍ조형,순수미술
U07060100003,음악학과,대학과정,예체능계열,음악,음악학
U99999900005,자유전공학부,대학과정,무전공,무전공,무전공
Z99999999999,소속학과없음,대학과정,,,
U02030100029,사회복지학과,대학과정,사회계열,사회과학,가족ㆍ사회ㆍ복지학
U02030100274,다문화학과,대학과정,사회계열,사회과학,가족ㆍ사회ㆍ복지학
U02030500230,디지털미디어커뮤니케이션학부,대학과정,사회계열,사회과학,언론ㆍ방송ㆍ매체학
U03020100007,유아교육과,대학과정,교육계열,유아교육,유아교육학
U04040100010,기계공학과,대학과정,공학계열,기계ㆍ금속,기계공학
U04040300003,자동차공학과,대학과정,공학계열,기계ㆍ금속,자동차공학
U04050100006,전기공학과,대학과정,공학계열,전기ㆍ전자,전기공학
U04080100004,멀티미디어공학과,대학과정,공학계열,컴퓨터ㆍ통신,전산학ㆍ컴퓨터공학
U04080100061,컴퓨터공학과,대학과정,공학계열,컴퓨터ㆍ통신,전산학ㆍ컴퓨터공학
U04080300130,정보통신공학과,대학과정,공학계열,컴퓨터ㆍ통신,정보ㆍ통신공학
U04090100010,산업경영공학과,대학과정,공학계열,산업,산업공학
U06020100004,간호학과,대학과정,의약계열,간호,간호학
G01010200003,국어국문학과,대학원과정,인문계열,언어ㆍ문학,국어ㆍ국문학
G01010400006,중어중문학과,대학원과정,인문계열,언어ㆍ문학,중국어ㆍ문학
G01020400006,사학과,대학원과정,인문계열,인문과학,역사ㆍ고고학
G02010100022,경영학과,대학원과정,사회계열,경영ㆍ경제,경영학
