조사연도,기준연도,학교명,설립별,지역별,교외장학금 소계(원),교외장학금 국가,교외장학금 지방자치단체,교외장학금 사설및기타,교내장학금 소계(원),교내장학금 성적우수장학금,교내장학금 저소득층장학금,교내장학금 근로장학금,교내장학금 재난장학금,교내장학금 교직원장학금,교내장학금 기타장학금,총계(원)
2025,2024,ICT폴리텍대학,사립,경기,490000000,374375000,0,115625000,170275000,21250000,149025000,0,0,0,0,660275000
2025,2024,가야대학교(김해),사립,경남,4901859626,4807751626,2876000,91232000,1830030184,436969560,581204200,144317424,0,21948000,645591000,6731889810
2025,2024,가천대학교,사립,경기,47811100313,45910606313,61409560,1839084440,30032165525,6667868500,9851371080,1554329366,0,116302000,11842294579,77843265838
2025,2024,가톨릭관동대학교,사립,강원,16990736892,16176594266,539726606,274416020,4638075425,1326625650,914893269,333520963,0,122465000,1940570543,21628812317
2025,2024,가톨릭꽃동네대학교,사립,충북,1421164501,1297783541,1572960,121808000,577252914,119825500,102870500,106590979,0,0,247965935,1998417415
2025,2024,가톨릭대학교,사립,경기,18856570497,17886024287,55923750,914622460,9839046344,3995600200,2424326980,671637747,0,28339000,2719142417,28695616841
2025,2024,가톨릭상지대학교,사립,경북,5345082213,5257535213,14000000,73547000,1803452204,184301000,26691000,18171504,0,13084000,1561204700,7148534417
2025,2024,감리교신학대학교,사립,서울,2530256708,2410494708,0,119762000,356346362,135716200,40670000,58904762,0,6765400,114290000,2886603070
2025,2024,강남대학교,사립,경기,16322127342,16109316042,38809800,174001500,5878999571,2237495000,1946189837,296887324,0,82423000,1316004410,22201126913
2025,2024,강동대학교,사립,충북,10375138682,10290339482,38388360,46410840,2856275001,97315000,214737453,59979882,0,20850000,2463392666,13231413683
2025,2024,강릉영동대학교,사립,강원,6548523966,6333028966,148241000,67254000,2417278852,188681600,0,31920252,0,40139000,2156538000,8965802818
2025,2024,강서대학교,사립,서울,3674045637,3481755480,18954300,173335857,1928118730,258500750,606409850,165100464,0,16212000,881895666,5602164367
2025,2024,강원대학교,국공립,강원,44125528322,39134403214,2960098428,2031026680,13154528618,5487417813,2286402600,2415660708,0,0,2965047497,57280056940
2025,2024,강원도립대학교,국공립,강원,1295463800,1266491800,1872000,27100000,601163065,97750000,15837000,100634405,0,0,386941660,1896626865
2025,2024,거제대학교,사립,경남,3782212264,3749415704,1438560,31358000,1157886221,94099000,311667200,55329441,0,40850230,655940350,4940098485
2025,2024,건국대학교,사립,서울,52854161763,48692744708,608547450,3552869605,30218397510,9974437792,9202654517,1356221469,0,181559000,9503524732,83072559273
2025,2024,건양대학교,사립,충남,18200369286,17596012686,64527600,539829000,8421043408,5171816660,1518271500,217001056,0,37690000,1476264192,26621412694
2025,2024,건양사이버대학교,사립,대전,8265359122,8235644052,4522000,25193070,1629758712,222167000,12376500,41588032,0,4855000,1348772180,9895117834
2025,2024,경기과학기술대학교,사립,경기,12941300248,12717373998,109564250,114362000,3151336791,573710080,61622960,157220318,0,6434000,2352349433,16092637039
2025,2024,경기대학교,사립,경기,33838987010,33310345110,155598900,373043000,17972841635,6883513500,5454261200,786688958,0,78250000,4770127977,51811828645
2025,2024,경남과학기술대학교,국공립,경남,4515116612,4428775732,16175000,70165880,1126266370,585060590,102295800,213352960,0,0,225557020,5641382982
2025,2024,경남대학교,사립,경남,24050565491,23504388931,104770960,441405600,9830390779,3517346600,822379980,705888784,1406000,199778400,4583591015,33880956270
2025,2024,경남도립거창대학,국공립,경남,1728242520,1661598020,28000000,38644500,981733695,68700000,844743000,32430695,0,0,35860000,2709976215
2025,2024,경남도립남해대학,국공립,경남,1572743982,1503600982,0,69143000,829021598,34400000,109292000,40722698,0,0,644606900,2401765580
2025,2024,경남정보대학교,사립,부산,19800163199,19602123639,40433560,157606000,3448936413,502081200,51696600,251094724,0,26388000,2617675889,23249099612
2025,2024,경동대학교,사립,강원,18500310400,17844352020,464456380,191502000,12816779496,283430650,3458940646,31250000,0,30694000,9012464200,31317089896
2025,2024,경민대학교,사립,경기,14743753742,14509519052,36172700,198061990,3824246258,504581000,359940000,293742898,1000000,3240000,2661742360,18568000000
2025,2024,경복대학교,사립,경기,20203876959,20082115359,17036600,104725000,6240620022,543933000,2141185000,499450255,0,37135000,3018916767,26444496981
2025,2024,경북과학대학교,사립,경북,6827382582,6800971822,0,26410760,2136503283,177069330,32631700,10933889,0,78056000,1837812364,8963885865
2025,2024,경북대학교,국공립,대구,49703441739,46181847879,118742240,3402851620,15067042162,7463739500,3923838350,1682027812,0,0,1997436500,64770483901
2025,2024,경북도립대학교,국공립,경북,1633402278,1593666278,1936000,37800000,799584122,79700000,48760000,141622512,0,0,529501610,2432986400
2025,2024,경북보건대학교,사립,경북,4188307812,4124735812,3878000,59694000,1143133838,344821000,196338000,168187198,0,0,433787640,5331441650
2025,2024,경북전문대학교,사립,경북,9420291985,9176691735,197300250,46300000,2217069461,386598666,12040000,37169127,0,32134000,1749127668,11637361446
2025,2024,경상국립대학교,국공립,경남,36270716031,34997445291,178271830,1094998910,9235273842,5053272900,1015069792,1867755350,0,0,1299175800,45505989873
2025,2024,경성대학교,사립,부산,30090678120,29435088924,159287876,496301320,11889529089,4456155000,1924283160,582457629,1406000,36697000,4888530300,41980207209
2025,2024,경운대학교,사립,경북,14268879446,14070681946,120477500,77720000,10703462867,513217000,352983500,194110794,0,13797500,9629354073,24972342313
2025,2024,경인교육대학교,국공립,인천,3767506906,3567522906,91937000,108047000,2030454054,588763000,433488000,451181054,0,0,557022000,5797960960
2025,2024,경인여자대학교,사립,인천,10957535167,10924811807,2973360,29750000,2895796232,664258520,327026340,247783292,0,29737000,1626991080,13853331399
2025,2024,경일대학교,사립,경북,23209813786,23059562786,1900000,148351000,8168978889,2237959870,1659270670,240826199,0,30135000,4000787150,31378792675
2025,2024,경희대학교,사립,서울,52007840735,46494470493,680343680,4833026562,31822500582,9472724198,9027216325,1307355876,0,222696400,11792507783,83830341317
2025,2024,경희사이버대학교,사립,서울,13033631186,12993867186,0,39764000,5162376149,499214000,694976000,3588649,0,57297000,3907300500,18196007335
2025,2024,계명대학교,사립,대구,57308580429,56473631729,171638420,663310280,26418389738,10512828800,3726019220,1838433945,0,233271000,10107836773,83726970167
2025,2024,계명문화대학교,사립,대구,18184575728,18058607198,18948930,107019600,3952557161,296518900,80436600,309476449,0,11224000,3254901212,22137132889
2025,2024,계원예술대학교,사립,경기,7277773279,7217294989,8068100,52410190,2947303424,855805000,1320935100,382644024,0,0,387919300,10225076703
2025,2024,고려대학교,사립,서울,57913762640,46772629851,1313076670,9828056119,38885890739,7241425850,11461982940,4959616732,3000000,443411000,14776454217,96799653379
2025,2024,고려사이버대학교,사립,서울,8129696400,7996536100,3834000,129326300,2936901130,471436500,96631000,3090830,0,36458500,2329284300,11066597530
2025,2024,고신대학교,사립,부산,8753911760,8331220140,13158000,409533620,3310550032,1063692500,15907520,244777340,0,122855000,1863317672,12064461792
2025,2024,공주교육대학교,국공립,충남,2313770100,2283506100,9952000,20312000,987165970,351400000,97701000,226096970,0,0,311968000,3300936070
2025,2024,광신대학교,사립,광주,1681923608,1662823608,0,19100000,540545477,1066000,0,31972477,0,0,507507000,2222469085
2025,2024,광양보건대학교,사립,전남,2000000,0,0,2000000,341600000,700000,0,0,0,12720000,328180000,343600000
2025,2024,광운대학교,사립,서울,18139643700,17567636290,54731370,517276040,10009978578,2626285750,2600009810,1435328058,0,42513200,3305841760,28149622278
2025,2024,광주과학기술원,국공립,광주,885103872,580833872,3000000,301270000,4911975563,140080000,109180000,10622178,0,0,4652093385,5797079435
2025,2024,광주교육대학교,국공립,광주,4696594084,3852410444,786678500,57505140,921972172,211501500,70301000,322644672,0,0,317525000,5618566256
2025,2024,광주대학교,사립,광주,18307523792,18097430192,31897600,178196000,5962041171,816603166,225889133,183670108,0,77896000,4657982764,24269564963
