"학제별","설립별","대학명","지역별","입학정원","평균입학금","평균등록금(원)"
"대학","국공립","강원대학교","강원","18175","0","4198744"
"대학","국공립","경북대학교","대구","20092","0","4514173.1"
"대학","국공립","경상국립대학교","경남","17578","0","4084328.8"
"대학","국공립","경인교육대학교","인천","2320","0","3492872.4"
"대학","국공립","공주교육대학교","충남","1375","0","3600000"
"대학","국공립","광주과학기술원","광주","801","0","2060000"
"대학","국공립","광주교육대학교","광주","1265","0","3792359.7"
"대학","국공립","국립강릉원주대학교","강원","7018","0","4261602"
"대학","국공립","국립경국대학교","경북","5629","0","3787927.3"
"대학","국공립","국립공주대학교","충남","11292","0","3858723.3"
"대학","국공립","국립군산대학교","전북","6864","0","3897282.2"
"대학","국공립","국립금오공과대학교","경북","4941","0","3770399.6"
"대학","국공립","국립목포대학교","전남","6072","0","3873166.8"
"대학","국공립","국립목포해양대학교","전남","2737","0","3409473.1"
"대학","국공립","국립부경대학교","부산","13257","0","4046157.9"
"대학","국공립","국립순천대학교","전남","6526","0","3971633.4"
"대학","국공립","국립창원대학교","경남","7009","0","3906262.5"
"대학","국공립","국립한국교통대학교","충북","7671","0","4111989.3"
"대학","국공립","국립한국해양대학교","부산","5488","0","3721746.4"
"대학","국공립","국립한밭대학교","대전","7613","0","4479446.5"
"대학","국공립","대구경북과학기술원","대구","840","0","7690000"
"대학","국공립","대구교육대학교","대구","1486","0","3896000"
"대학","국공립","부산교육대학교","부산","1381","0","3316000"
"대학","국공립","부산대학교","부산","17645","0","4472115.7"
"대학","국공립","서울과학기술대학교","서울","8764","0","5494399.4"
"대학","국공립","서울교육대학교","서울","1406","0","3256000"
"대학","국공립","서울대학교","서울","13762","0","6058797.7"
"대학","국공립","서울시립대학교","서울","6996","0","2532527.2"
"대학","국공립","울산과학기술원","울산","1607","0","6548625.4"
"대학","국공립","인천대학교","인천","10008","0","4651527.2"
"대학","국공립","전남대학교","광주","17712","0","4175115"
"대학","국공립","전북대학교","전북","16181","0","4447738.3"
"대학","국공립","전주교육대학교","전북","1127","0","3646000"
"대학","국공립","제주대학교","제주","8940","0","4028696.6"
"대학","국공립","진주교육대학교","경남","1276","0","3778500"
"대학","국공립","청주교육대학교","충북","1144","0","3600000"
"대학","국공립","춘천교육대학교","강원","1284","0","3494000"
"대학","국공립","충남대학교","대전","14940","0","4386642"
"대학","국공립","충북대학교","충북","11957","0","4286467"
"대학","국공립","한경국립대학교","경기","5101","0","4020513.3"
"대학","국공립","한국과학기술원","대전","3880","0","6866000"
"대학","국공립","한국교원대학교","충북","2184","0","3350393.8"
"대학","국공립","한국방송통신대학교","서울","238560","0","761694.9"
"대학","국공립","한국에너지공과대학교","전남","400","0","9000000"
"대학","국공립","한국예술종합학교","서울","2252","0","4806454.7"
"대학","국공립","한국전통문화대학교","충남","560","0","3382410.7"
"대학","국공립","한국체육대학교","서울","2140","0","3860074.8"
"대학","사립","가야대학교(김해)","경남","1765","0","7239309.3"
"대학","사립","가천대학교","경기","16724","0","8812617.8"
"대학","사립","가톨릭관동대학교","강원","7179","0","7505368.9"
"대학","사립","가톨릭꽃동네대학교","충북","432","0","7506277.8"
"대학","사립","가톨릭대학교","경기","7374","0","7731404"
"대학","사립","감리교신학대학교","서울","776","0","6820923.7"
"대학","사립","강남대학교","경기","5964","0","7968388.7"
"대학","사립","강서대학교","서울","1108","0","7924720.2"
"대학","사립","건국대학교","서울","18474","0","8687206"
"대학","사립","건양대학교","충남","6657","0","7198559"
"대학","사립","건양사이버대학교","대전","3396","0","2541328.6"
"대학","사립","경기대학교","경기","11803","0","7768743"
"대학","사립","경남대학교","경남","8287","0","6850262.3"
"대학","사립","경동대학교","강원","6309","0","8603918"
"대학","사립","경성대학교","부산","11095","0","7328471.4"
"대학","사립","경운대학교","경북","4736","0","8093237.8"
"대학","사립","경일대학교","경북","6182","0","7753759.3"
"대학","사립","경희대학교","서울","20016","0","8441574.6"
"대학","사립","경희사이버대학교","서울","9200","0","2914434.8"
"대학","사립","계명대학교","대구","18704","0","8079008.3"
"대학","사립","고려대학교","서울","22062","0","8847931"
"대학","사립","고려사이버대학교","서울","7378","0","2571227"
"대학","사립","고신대학교","부산","3436","0","7057229.3"
"대학","사립","광신대학교","광주","454","0","6176458.1"
"대학","사립","광운대학교","서울","7038","0","8330757.9"
"대학","사립","광주가톨릭대학교","전남","160","0","0"
"대학","사립","광주대학교","광주","5681","0","6919352.4"
"대학","사립","광주여자대학교","광주","3656","0","6600791"
"대학","사립","국민대학교","서울","11918","0","8376923.6"
"대학","사립","국제사이버대학교","경기","2900","0","2557224"
