기준연도,학교명,학종,등록금 수입,10퍼센트 규정 준수여부 비율,10퍼센트 규정 준수여부 금액,30퍼센트 규정 준수여부 비율,30퍼센트 규정 준수여부 금액
2024,ICT폴리텍대학,학부,663307620,80,530625000,,374375000
2024,ICT폴리텍대학,대학원,0,,0,,0
2024,ICT폴리텍대학,계,663307620,80,530625000,70.6,374375000
2024,가야대학교(김해),학부,10948240190,10.8,1185694380,,843176740
2024,가야대학교(김해),대학원,450274830,31.6,142086100,,0
2024,가야대학교(김해),계,11398515020,11.6,1327780480,63.5,843176740
2024,가천대학교,학부,1.63034E+11,15.2,24752108960,,13100299700
2024,가천대학교,대학원,34943536350,39.9,13943515395,,0
2024,가천대학교,계,1.97978E+11,19.5,38695624355,33.9,13100299700
2024,가톨릭관동대학교,학부,35875299754,9.6,3430856176,,1866121455
2024,가톨릭관동대학교,대학원,3861946450,66.1,2551472600,,1151703800
2024,가톨릭관동대학교,계,39737246204,15.1,5982328776,50.4,3017825255
2024,가톨릭꽃동네대학교,학부,2915506665,15.9,464661935,,257917901
2024,가톨릭꽃동네대학교,대학원,0,,0,,0
2024,가톨릭꽃동네대학교,계,2915506665,15.9,464661935,55.5,257917901
2024,가톨릭대학교,학부,56713698616,11.5,6506069280,,4303127370
2024,가톨릭대학교,대학원,32798474230,26,8516122425,,976470050
2024,가톨릭대학교,계,89512172846,16.8,15022191705,35.1,5279597420
2024,가톨릭상지대학교,학부,10155079882,15.5,1575388700,,924155500
2024,가톨릭상지대학교,대학원,0,,0,,0
2024,가톨릭상지대학교,계,10155079882,15.5,1575388700,58.7,924155500
2024,감리교신학대학교,학부,3511494100,6.7,235493362,,181572034
2024,감리교신학대학교,대학원,3871935900,18.8,726378740,,112462800
2024,감리교신학대학교,계,7383430000,13,961872102,30.6,294034834
2024,강남대학교,학부,45681678137,10.6,4828775747,,3333496337
2024,강남대학교,대학원,3685689490,33.7,1241196000,,0
2024,강남대학교,계,49367367627,12.3,6069971747,54.9,3333496337
2024,강동대학교,학부,19494093260,12.8,2486137623,,1442187671
2024,강동대학교,대학원,0,,0,,0
2024,강동대학교,계,19494093260,12.8,2486137623,58,1442187671
2024,강릉영동대학교,학부,17253141688,12.4,2147384350,,847642340
2024,강릉영동대학교,대학원,0,,0,,0
2024,강릉영동대학교,계,17253141688,12.4,2147384350,39.5,847642340
2024,강서대학교,학부,11131251213,14.1,1568933266,,606409850
2024,강서대학교,대학원,1206131670,25.9,311993800,,26336800
2024,강서대학교,계,12337382883,15.2,1880927066,33.6,632746650
2024,강원대학교,학부,73840621086,11.9,8806416763,,4502657940
2024,강원대학교,대학원,17886083480,17.7,3157540790,,157668000
2024,강원대학교,계,91726704566,13,11963957553,39,4660325940
2024,강원도립대학교,학부,1910701660,15.8,301328660,,31399000
2024,강원도립대학교,대학원,0,,0,,0
2024,강원도립대학교,계,1910701660,15.8,301328660,10.4,31399000
2024,개신대학원대학교,학부,0,,0,,0
2024,개신대학원대학교,대학원,1571519813,40.4,634271266,,200000
2024,개신대학원대학교,계,1571519813,40.4,634271266,0,200000
2024,거제대학교,학부,6549257470,15.8,1035856780,,311667200
2024,거제대학교,대학원,0,,0,,0
2024,거제대학교,계,6549257470,15.8,1035856780,30.1,311667200
2024,건국대학교,학부,1.20328E+11,12.8,15434861661,,7737577834
2024,건국대학교,대학원,49201397120,22.4,11002243640,,373310100
2024,건국대학교,계,1.69529E+11,15.6,26437105301,30.7,8110887934
2024,건국대학교(글로컬),학부,54163883947,11.4,6169393772,,2471834073
2024,건국대학교(글로컬),대학원,5471718499,39.4,2158158525,,27508500
2024,건국대학교(글로컬),계,59635602446,14,8327552297,30,2499342573
2024,건신대학원대학교,학부,0,,0,,0
2024,건신대학원대학교,대학원,1055240193,13.2,139276400,,43650400
2024,건신대학원대학교,계,1055240193,13.2,139276400,31.3,43650400
2024,건양대학교,학부,40827047549,17.7,7211137360,,2920983800
2024,건양대학교,대학원,4687261017,43.8,2052563100,,0
2024,건양대학교,계,45514308566,20.4,9263700460,31.5,2920983800
2024,건양사이버대학교,학부,10662574200,11.7,1252521550,,579837550
2024,건양사이버대학교,대학원,0,,0,,0
2024,건양사이버대학교,계,10662574200,11.7,1252521550,46.3,579837550
2024,경기과학기술대학교,학부,24973303902,11.9,2975198768,,1771500928
2024,경기과학기술대학교,대학원,0,,0,,0
2024,경기과학기술대학교,계,24973303902,11.9,2975198768,59.5,1771500928
2024,경기대학교,학부,91033983000,17.2,15664756058,,6240950158
2024,경기대학교,대학원,22419583000,19.2,4302860500,,767345000
2024,경기대학교,계,1.13454E+11,17.6,19967616558,35.1,7008295158
2024,경남대학교,학부,51029360337,14.6,7436664680,,3904230530
2024,경남대학교,대학원,8400133480,44,3695419400,,6206000
2024,경남대학교,계,59429493817,18.7,11132084080,35.1,3910436530
2024,경남도립거창대학,학부,2394952818,40,958613695,,603319695
2024,경남도립거창대학,대학원,0,,0,,0
2024,경남도립거창대학,계,2394952818,40,958613695,62.9,603319695
2024,경남도립남해대학,학부,2011395490,26,523148900,,162334670
2024,경남도립남해대학,대학원,0,,0,,0
2024,경남도립남해대학,계,2011395490,26,523148900,31,162334670
2024,경남정보대학교,학부,29600303131,10.2,3029637389,,1525248924
2024,경남정보대학교,대학원,0,,0,,0
2024,경남정보대학교,계,29600303131,10.2,3029637389,50.3,1525248924
2024,경동대학교,학부,62319285426,18.3,11416238696,,3458940646
2024,경동대학교,대학원,0,,0,,0
2024,경동대학교,계,62319285426,18.3,11416238696,30.3,3458940646
2024,경민대학교,학부,25982851380,11.9,3087958361,,1473793161
2024,경민대학교,대학원,0,,0,,0
2024,경민대학교,계,25982851380,11.9,3087958361,47.7,1473793161
2024,경복대학교,학부,39387286430,11.6,4574508960,,2141185000
2024,경복대학교,대학원,0,,0,,0
2024,경복대학교,계,39387286430,11.6,4574508960,46.8,2141185000
2024,경북과학대학교,학부,10844424900,18,1951546894,,752607370
2024,경북과학대학교,대학원,0,,0,,0
2024,경북과학대학교,계,10844424900,18,1951546894,38.6,752607370
2024,경북대학교,학부,88470232720,13.7,12148953503,,4876685162
2024,경북대학교,대학원,36930139030,18.2,6708546915,,915231222
2024,경북대학교,계,1.254E+11,15,18857500418,30.7,5791916384
2024,경북보건대학교,학부,7141024050,11.5,821861600,,366342300
2024,경북보건대학교,대학원,0,,0,,0
2024,경북보건대학교,계,7141024050,11.5,821861600,44.6,366342300
2024,경북전문대학교,학부,14566153467,12.3,1789755284,,597255278
2024,경북전문대학교,대학원,0,,0,,0
2024,경북전문대학교,계,14566153467,12.3,1789755284,33.4,597255278
2024,경상국립대학교,학부,64914670470,11.1,7207059202,,3316427092
2024,경상국립대학교,대학원,13551016760,13.5,1836145150,,0
